"","MSI_TOTAL","results.valence_experiment_order","song1_ID","song1_estVal","song1_familiar","song2_ID","song2_estVal","song2_familiar","song3_ID","song3_estVal","song3_familiar","song4_ID","song4_estVal","song4_familiar","song5_ID","song5_estVal","song5_familiar","song6_ID","song6_estVal","song6_familiar","song7_ID","song7_estVal","song7_familiar","song8_ID","song8_estVal","song8_familiar","song9_ID","song9_estVal","song9_familiar","song10_ID","song10_estVal","song10_familiar","song11_ID","song11_estVal","song11_familiar","song12_ID","song12_estVal","song12_familiar","song13_ID","song13_estVal","song13_familiar","song14_ID","song14_estVal","song14_familiar","song15_ID","song15_estVal","song15_familiar","song16_ID","song16_estVal","song16_familiar","song17_ID","song17_estVal","song17_familiar","song18_ID","song18_estVal","song18_familiar","song19_ID","song19_estVal","song19_familiar","song20_ID","song20_estVal","song20_familiar","song21_ID","song21_estVal","song21_familiar","song22_ID","song22_estVal","song22_familiar","song23_ID","song23_estVal","song23_familiar","song24_ID","song24_estVal","song24_familiar","song25_ID","song25_estVal","song25_familiar"
"23",106,"[176,93,235,32,228,15,168,41,28,169,16,38,197,143,5,58,215,40,179,172,102,112,175,229,48]","176","6","no","93","7","no","235","5","no","32","5","no","228","4","no","15","6","no","168","2","no","41","7","yes","28","7","no","169","5","no","16","5","no","38","5","yes","197","3","no","143","5","no","5","4","no","58","5","no","215","2","yes","40","6","no","179","6","yes","172","5","no","102","2","no","112","3","no","175","5","no","229","5","no","48","7","no"
"24",92,"[72,213,57,9,163,149,116,104,127,74,17,98,55,137,30,27,230,77,144,54,192,222,162,166,158]","72","3","no","213","6","no","57","7","no","9","6","no","163","2","no","149","3","no","116","1","yes","104","4","yes","127","3","no","74","2","no","17","2","no","98","6","yes","55","6","yes","137","5","no","30","4","no","27","4","no","230","3","no","77","2","no","144","4","no","54","7","yes","192","6","yes","222","2","no","162","2","no","166","2","yes","158","5","no"
"25",88,"[216,94,41,80,33,175,153,180,63,48,71,29,151,211,194,97,125,218,46,15,27,147,85,101,9]","216","4","no","94","3","no","41","6","yes","80","5","no","33","5","no","175","5","no","153","3","no","180","2","no","63","4","no","48","6","no","71","5","no","29","3","no","151","2","no","211","3","no","194","5","no","97","5","no","125","5","no","218","1","no","46","6","yes","15","7","no","27","6","no","147","4","no","85","6","no","101","1","no","9","6","no"
"26",74,"[193,24,107,153,151,39,110,239,57,206,146,97,30,212,167,27,202,36,187,80,136,43,150,197,237]","193","5","no","24","3","no","107","5","no","153","5","no","151","4","no","39","6","yes","110","6","no","239","3","no","57","5","no","206","4","no","146","4","no","97","5","no","30","3","no","212","6","no","167","3","no","27","5","no","202","5","no","36","3","no","187","6","no","80","4","no","136","6","no","43","4","no","150","2","no","197","3","no","237","2","no"
"27",71,"[46,197,6,160,56,108,47,147,116,93,98,33,26,205,77,183,102,120,80,17,97,141,236,35,23]","46","5","yes","197","6","no","6","6","no","160","7","no","56","7","no","108","2","no","47","6","no","147","7","no","116","3","yes","93","6","no","98","6","yes","33","6","no","26","5","no","205","7","no","77","5","yes","183","4","no","102","2","no","120","4","no","80","4","no","17","4","no","97","7","no","141","5","no","236","2","no","35","4","no","23","5","no"
"28",77,"[42,1,180,3,112,75,202,27,119,114,190,66,205,100,53,198,167,160,33,4,116,85,54,36,39]","42","3","no","1","2","no","180","6","no","3","5","no","112","2","no","75","2","no","202","4","no","27","6","no","119","6","yes","114","3","no","190","3","no","66","1","no","205","6","no","100","6","no","53","7","no","198","7","no","167","2","no","160","5","no","33","7","yes","4","5","no","116","4","yes","85","7","no","54","7","yes","36","6","no","39","6","no"
"29",50,"[121,180,94,69,77,71,230,33,91,126,99,143,92,72,16,95,35,22,50,190,1,8,163,115,153]","121","5","no","180","4","no","94","7","no","69","5","no","77","2","no","71","5","no","230","2","no","33","3","no","91","7","no","126","2","no","99","7","no","143","2","no","92","5","no","72","3","no","16","3","no","95","5","no","35","2","no","22","2","no","50","6","no","190","1","no","1","2","no","8","3","no","163","2","no","115","2","no","153","2","no"
"30",92,"[206,117,2,63,6,79,38,174,21,182,26,132,4,12,84,200,90,13,72,81,235,159,131,65,86]","206","3","no","117","3","no","2","5","no","63","4","no","6","4","no","79","6","no","38","1","no","174","5","no","21","6","no","182","5","no","26","5","no","132","4","no","4","4","no","12","6","no","84","7","no","200","3","no","90","5","no","13","3","no","72","3","no","81","4","no","235","2","no","159","3","no","131","3","no","65","5","no","86","6","no"
"31",100,"[193,227,159,75,135,68,155,95,233,147,235,123,110,149,11,176,158,173,175,102,231,4,182,53,202]","193","5","no","227","1","no","159","5","no","75","2","no","135","6","no","68","5","no","155","2","no","95","6","no","233","3","no","147","5","no","235","1","no","123","5","no","110","5","no","149","6","no","11","6","no","176","6","no","158","5","no","173","2","no","175","6","no","102","2","no","231","1","no","4","5","no","182","2","no","53","5","no","202","2","no"
"32",89,"[65,6,118,237,110,125,76,100,104,111,192,92,82,219,28,177,206,7,203,238,95,96,175,129,13]","65","5","no","6","3","no","118","6","yes","237","7","no","110","2","no","125","5","no","76","3","no","100","5","no","104","6","yes","111","6","yes","192","6","no","92","6","no","82","4","yes","219","5","no","28","7","no","177","5","no","206","4","no","7","1","no","203","5","no","238","7","no","95","7","no","96","7","no","175","7","no","129","7","no","13","7","yes"
"33",48,"[108,155,160,61,33,222,148,221,81,165,158,235,80,20,9,218,67,99,49,5,123,116,85,183,212]","108","2","no","155","3","no","160","5","no","61","6","no","33","6","no","222","1","no","148","1","no","221","3","no","81","6","no","165","6","no","158","5","no","235","2","no","80","5","no","20","6","no","9","6","no","218","2","no","67","7","no","99","7","no","49","7","no","5","6","no","123","5","no","116","2","yes","85","7","no","183","1","no","212","5","no"
"34",49,"[100,42,84,10,47,146,85,164,117,33,209,61,46,151,67,20,82,175,58,215,199,4,50,25,74]","100","4","no","42","5","no","84","3","no","10","2","no","47","7","yes","146","2","no","85","7","no","164","6","no","117","6","no","33","3","no","209","1","no","61","2","no","46","7","yes","151","2","no","67","4","no","20","4","no","82","3","no","175","4","no","58","6","no","215","1","no","199","2","no","4","2","no","50","7","no","25","5","no","74","6","no"
"35",44,"[46,210,53,179,65,169,91,107,157,109,42,168,165,181,197,182,101,228,14,140,129,41,145,152,73]","46","5","yes","210","2","no","53","5","no","179","4","no","65","4","no","169","7","no","91","5","no","107","1","no","157","3","no","109","4","yes","42","4","no","168","4","no","165","2","no","181","2","no","197","6","no","182","3","no","101","2","no","228","4","no","14","5","no","140","4","no","129","4","no","41","6","yes","145","2","no","152","4","no","73","5","no"
"36",50,"[173,213,87,124,76,227,71,88,12,56,19,202,65,174,125,217,62,15,155,43,181,221,80,120,197]","173","4","no","213","6","no","87","7","no","124","2","no","76","1","no","227","4","no","71","5","no","88","7","no","12","7","no","56","6","no","19","7","no","202","1","no","65","2","no","174","2","no","125","3","no","217","4","no","62","1","no","15","5","no","155","2","no","43","7","no","181","6","no","221","3","no","80","4","no","120","6","no","197","6","no"
"37",87,"[229,233,147,150,149,234,54,72,53,29,30,171,45,36,226,217,141,5,138,174,155,107,99,210,7]","229","2","no","233","1","no","147","6","no","150","1","no","149","7","no","234","6","no","54","7","yes","72","6","no","53","6","no","29","1","yes","30","6","yes","171","1","no","45","7","no","36","7","no","226","1","no","217","3","no","141","5","no","5","6","no","138","2","no","174","7","no","155","1","no","107","7","no","99","7","no","210","2","no","7","2","no"
"38",93,"[205,134,47,174,206,42,212,86,222,18,165,63,214,122,199,90,172,97,78,187,204,162,149,198,195]","205","4","no","134","4","no","47","6","no","174","5","no","206","3","yes","42","6","no","212","5","no","86","7","no","222","2","no","18","7","no","165","4","no","63","5","no","214","4","no","122","5","no","199","4","no","90","6","no","172","2","no","97","6","yes","78","5","no","187","7","yes","204","5","yes","162","4","no","149","6","no","198","2","yes","195","5","no"
"39",103,"[81,13,187,205,188,179,26,40,104,160,183,227,171,231,48,103,59,3,221,128,92,106,152,101,137]","81","4","no","13","2","no","187","6","no","205","3","yes","188","4","no","179","5","no","26","6","no","40","7","no","104","5","yes","160","4","no","183","1","no","227","6","no","171","1","no","231","7","yes","48","6","no","103","5","no","59","5","no","3","5","no","221","7","yes","128","7","no","92","6","no","106","3","yes","152","2","no","101","1","no","137","6","no"
"40",82,"[108,141,40,200,240,86,208,117,76,177,112,38,130,25,134,35,99,114,13,124,161,107,202,65,42]","108","3","no","141","5","no","40","5","no","200","6","no","240","2","yes","86","6","no","208","6","no","117","1","no","76","3","no","177","5","no","112","2","no","38","5","yes","130","4","no","25","5","no","134","3","no","35","2","no","99","6","no","114","2","no","13","3","no","124","2","no","161","5","no","107","1","no","202","3","no","65","5","no","42","6","no"
"41",48,"[207,107,41,105,77,51,152,201,200,141,137,60,203,173,98,139,25,8,24,71,224,228,128,29,117]","207","4","no","107","5","yes","41","7","yes","105","3","no","77","2","no","51","6","no","152","1","no","201","3","no","200","2","no","141","1","no","137","5","no","60","6","no","203","4","no","173","3","no","98","7","no","139","4","yes","25","5","no","8","1","no","24","3","no","71","6","no","224","4","no","228","5","no","128","5","no","29","7","yes","117","5","no"
"42",89,"[151,24,61,20,36,67,210,226,128,138,41,123,160,174,14,239,129,28,75,240,119,231,232,102,9]","151","3","no","24","4","no","61","5","no","20","5","no","36","3","no","67","3","no","210","2","no","226","1","no","128","5","no","138","2","no","41","6","yes","123","3","no","160","7","no","174","6","no","14","6","no","239","2","no","129","1","no","28","3","no","75","3","no","240","1","no","119","3","no","231","1","no","232","2","no","102","1","no","9","4","no"
